index,label,title,url,file
1,01 - index.html,"Khadija Okbi | Creative Director für Design, Marketing & Motion",http://127.0.0.1:4173/index.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/01__index.png
2,02 - about.html,Über mich | Khadija Okbi,http://127.0.0.1:4173/about.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/02__about.png
3,03 - work.html,Work — Khadija Okbi,http://127.0.0.1:4173/work.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/03__work.png
4,04 - blog.html,Blog — Khadija Okbi,http://127.0.0.1:4173/blog.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/04__blog.png
5,05 - work/fotografie.html,Fotografie | Khadija Okbi,http://127.0.0.1:4173/work/fotografie.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/05__work__fotografie.png
6,06 - work/komthur.html,Khadija Okbi | Portfolio,http://127.0.0.1:4173/work/komthur.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/06__work__komthur.png
7,07 - work/personal.html,Khadija Okbi | Personal Work,http://127.0.0.1:4173/work/personal.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/07__work__personal.png
8,08 - work/sbw.html,Lehre | SBW Neuen Medien,http://127.0.0.1:4173/work/sbw.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/08__work__sbw.png
9,09 - work/win4.html,WIN4 | Sportmarketing,http://127.0.0.1:4173/work/win4.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/09__work__win4.png
10,10 - blog/corona.html,Corona | Ein Bild sagt mehr als tausend Wörter,http://127.0.0.1:4173/blog/corona.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/10__blog__corona.png
11,11 - blog/idpa.html,IDPA | Die Illusion der freien Meinung,http://127.0.0.1:4173/blog/idpa.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/11__blog__idpa.png
12,12 - blog/threads.html,Threads | Early Adoption in der Krypto-Community,http://127.0.0.1:4173/blog/threads.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/12__blog__threads.png
13,13 - blog/tiktok.html,10k Follower in 30 Tagen | Khadija Okbi Blog,http://127.0.0.1:4173/blog/tiktok.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/13__blog__tiktok.png
14,14 - web/eiskunstlauf.html,EC Weinfelden — Eislaufclub mit Tradition,http://127.0.0.1:4173/web/eiskunstlauf.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/14__web__eiskunstlauf.png
15,15 - web/shein.html,SHEIN COSMETICS - Shein bright like a diamond,http://127.0.0.1:4173/web/shein.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/15__web__shein.png
16,16 - web/wehelp.html,WeHelp - Psychische Gesundheit für Erwachsene und Kinder,http://127.0.0.1:4173/web/wehelp.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/16__web__wehelp.png
17,17 - pages/404.html,404 - Seite nicht gefunden | Khadija Okbi,http://127.0.0.1:4173/pages/404.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/17__pages__404.png
18,18 - pages/animation.html,Praktikum | Hillsong Germany Comms,http://127.0.0.1:4173/pages/animation.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/18__pages__animation.png
19,19 - pages/datenschutz.html,Datenschutzerklärung | Khadija Okbi,http://127.0.0.1:4173/pages/datenschutz.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/19__pages__datenschutz.png
20,20 - pages/gallery-carousel-new.html,pages/gallery-carousel-new.html,http://127.0.0.1:4173/pages/gallery-carousel-new.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/20__pages__gallery-carousel-new.png
21,21 - pages/impressum.html,Impressum | Khadija Okbi,http://127.0.0.1:4173/pages/impressum.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/21__pages__impressum.png
22,22 - pages/preloader-demo.html,Preloader Demo — Khadija Okbi,http://127.0.0.1:4173/pages/preloader-demo.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/22__pages__preloader-demo.png
23,23 - pages/template.html,Projekt Titel | Khadija Okbi Portfolio,http://127.0.0.1:4173/pages/template.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/23__pages__template.png
24,24 - pages/wellen-demo.html,Wellen Demo | 5 Farben,http://127.0.0.1:4173/pages/wellen-demo.html,/Users/khadijaokbi/Documents/GitHub/Portfolio/screenshots/fullpage/24__pages__wellen-demo.png
